"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.785/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0x8f179afee625a433cbc9a0e1d8c539f04ad571f7d18e7c2a266ce849e9cac0fd","43739256","1686374366","2023-06-10 05:19:26","0x515281812fdf5b0d7be5fb25b823a2ab79e0a621","0x1213c2364061f7cf11eca008c121072c63a213db","","59.409863","0","46.6415677775509","0.008755114028787","0.00687347561084016","0.61","","","Transfer"
"0xfd16fab078de2beace78dc27e14023166c7c2c2e832a7cf2a18724b468e2f395","43739314","1686374490","2023-06-10 05:21:30","0x1213c2364061f7cf11eca008c121072c63a213db","0x1e4b7a6b903680eab0c5dabcb8fd429cd2a9598c","","0","59","46.3197920331091","0.152187093939122043","0.119479229514972","0.61","","","Deposit ETH"
"0xda7e32121ba52bf3c11e26fec1ce9a0b7746afcf6011a92d4c3b56c4373250f6","44712103","1688560315","2023-07-05 12:31:55","0x515281812fdf5b0d7be5fb25b823a2ab79e0a621","0x1213c2364061f7cf11eca008c121072c63a213db","","205.193035","0","161.093198438008","0.003358890430329","0.00263700179991254","0.67","","","Transfer"
"0xddb87c5e8fa669e3920df24ea19efe4d5a9b911a4a7e34770eb618f5e57cf409","44712216","1688560555","2023-07-05 12:35:55","0x1213c2364061f7cf11eca008c121072c63a213db","0xcb46d1be8afbcda05ff9e741d41298bfad45e26b","","0","205.52129","161.350905274175","0.010048276558763748","0.00788871322869664","0.67","","","Pay"
"0xc904046a66b960412c7d78322ba6a123483930fcd22cfe28c404ed95bc6003e3","44713412","1688563204","2023-07-05 13:20:04","0x1213c2364061f7cf11eca008c121072c63a213db","0x6d80113e533a2c0fe82eabd35f1875dcea89ea97","","0","0","0","0.00792201856452696","0.00621942800663251","0.67","","","Approve"
"0x03f07dc2d2542978ee7dbfde10de6d4a4e97f2fd3f8a78d3a6aa16c5f4508b96","44713422","1688563244","2023-07-05 13:20:44","0x1213c2364061f7cf11eca008c121072c63a213db","0x1e4b7a6b903680eab0c5dabcb8fd429cd2a9598c","","0","0","0","0.07212107101888698","0.0566208984881345","0.67","","","Withdraw ETH"
"0xce53fa9ceb7e3a9ff341ccd501ad0b79ee6ba272f53cb4499bd3f3fc92270492","44713441","1688563288","2023-07-05 13:21:28","0x1213c2364061f7cf11eca008c121072c63a213db","0xcb46d1be8afbcda05ff9e741d41298bfad45e26b","","0","23.276631","18.2740458839224","0.010067176990675996","0.00790355160285785","0.67","","","Pay"
"0xed15811b842e620fa9771fb29d851860b8beae0382401bb576fa1bb0339bb83e","44919586","1689012177","2023-07-10 18:02:57","0x515281812fdf5b0d7be5fb25b823a2ab79e0a621","0x1213c2364061f7cf11eca008c121072c63a213db","","69.696427","0","54.7173560015385","0.003345537389754","0.00262651857851518","0.74","","","Transfer"
"0x3d80c3e7526378422ffdd50a607740215334a9b1dbd0bf3ba2427e1f194afc0a","44919657","1689012327","2023-07-10 18:05:27","0x1213c2364061f7cf11eca008c121072c63a213db","0xcb46d1be8afbcda05ff9e741d41298bfad45e26b","","0","45.366956","35.6167452050036","0.008124260316441848","0.00637820420814284","0.74","","","Pay"
"0x52df1630d64cd6b3928ab4f1b249422da93263aac35726b717997377a5737f17","44919685","1689012387","2023-07-10 18:06:27","0x1213c2364061f7cf11eca008c121072c63a213db","0x1e4b7a6b903680eab0c5dabcb8fd429cd2a9598c","","0","25.5","20.0195711329539","0.02229131292505479","0.0175004911666694","0.74","","","Deposit ETH"
